channel_index,phase_index,phase_time,phase_score,phase_type
237,1253,2025-04-23T12:32:42.530,0.762,S
237,1264,2025-04-23T12:32:42.640,0.328,P
237,1273,2025-04-23T12:32:42.730,0.406,S
238,1217,2025-04-23T12:32:42.170,0.344,S
238,1225,2025-04-23T12:32:42.250,0.354,P
238,1232,2025-04-23T12:32:42.320,0.334,S
238,1246,2025-04-23T12:32:42.460,0.910,P
238,1253,2025-04-23T12:32:42.530,0.758,S
238,1264,2025-04-23T12:32:42.640,0.328,P
238,1273,2025-04-23T12:32:42.730,0.393,S
239,1217,2025-04-23T12:32:42.170,0.342,S
239,1225,2025-04-23T12:32:42.250,0.350,P
239,1232,2025-04-23T12:32:42.320,0.334,S
239,1246,2025-04-23T12:32:42.460,0.910,P
239,1253,2025-04-23T12:32:42.530,0.750,S
